start,num_opps,teams,website_in_favor,website_against,game
1612018800,1,Rotherham United,betonlineag,onexbet,"{'commence_time': 1612018800, 'team': ['Rotherham United', 'Swansea City'], 'sport_key': 'soccer_efl_champ'}"
1612018800,2,Preston North End,onexbet,mybookieag,"{'commence_time': 1612018800, 'team': ['Preston North End', 'Sheffield Wednesday'], 'sport_key': 'soccer_efl_champ'}"
1611682200,1,Accrington Stanley,matchbook,onexbet,"{'commence_time': 1611682200, 'team': ['Accrington Stanley', 'Hull City'], 'sport_key': 'soccer_england_league1'}"
1611684000,2,Crewe Alexandra,onexbet,matchbook,"{'commence_time': 1611684000, 'team': ['Crewe Alexandra', 'Gillingham'], 'sport_key': 'soccer_england_league1'}"
1611687600,1,Lincoln City,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['Lincoln City', 'Portsmouth'], 'sport_key': 'soccer_england_league1'}"
1611687600,2,Plymouth Argyle,onexbet,matchbook,"{'commence_time': 1611687600, 'team': ['Plymouth Argyle', 'Swindon Town'], 'sport_key': 'soccer_england_league1'}"
1611687600,1,Blackpool,onexbet,matchbook,"{'commence_time': 1611687600, 'team': ['Blackpool', 'Wigan Athletic'], 'sport_key': 'soccer_england_league1'}"
1611687600,1,AFC Wimbledon,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['AFC Wimbledon', 'Doncaster Rovers'], 'sport_key': 'soccer_england_league1'}"
1611687600,1,Charlton Athletic,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['Charlton Athletic', 'Milton Keynes Dons'], 'sport_key': 'soccer_england_league1'}"
1611690300,1,Fleetwood Town,onexbet,matchbook,"{'commence_time': 1611690300, 'team': ['Fleetwood Town', 'Northampton Town'], 'sport_key': 'soccer_england_league1'}"
1611690300,2,Ipswich Town,matchbook,onexbet,"{'commence_time': 1611690300, 'team': ['Ipswich Town', 'Sunderland'], 'sport_key': 'soccer_england_league1'}"
1611682200,1,Accrington Stanley,mybookieag,onexbet,"{'commence_time': 1611682200, 'team': ['Accrington Stanley', 'Hull City'], 'sport_key': 'soccer_england_league1'}"
1611684000,2,Crewe Alexandra,onexbet,mybookieag,"{'commence_time': 1611684000, 'team': ['Crewe Alexandra', 'Gillingham'], 'sport_key': 'soccer_england_league1'}"
1611687600,1,Lincoln City,pinnacle,onexbet,"{'commence_time': 1611687600, 'team': ['Lincoln City', 'Portsmouth'], 'sport_key': 'soccer_england_league1'}"
1611687600,1,Oxford United,onexbet,mybookieag,"{'commence_time': 1611687600, 'team': ['Oxford United', 'Rochdale'], 'sport_key': 'soccer_england_league1'}"
1611687600,2,Plymouth Argyle,onexbet,mybookieag,"{'commence_time': 1611687600, 'team': ['Plymouth Argyle', 'Swindon Town'], 'sport_key': 'soccer_england_league1'}"
1611687600,1,Blackpool,onexbet,mybookieag,"{'commence_time': 1611687600, 'team': ['Blackpool', 'Wigan Athletic'], 'sport_key': 'soccer_england_league1'}"
1611687600,1,AFC Wimbledon,mybookieag,onexbet,"{'commence_time': 1611687600, 'team': ['AFC Wimbledon', 'Doncaster Rovers'], 'sport_key': 'soccer_england_league1'}"
1611687600,2,Burton Albion,mybookieag,onexbet,"{'commence_time': 1611687600, 'team': ['Burton Albion', 'Shrewsbury Town'], 'sport_key': 'soccer_england_league1'}"
1611687600,2,Charlton Athletic,mybookieag,onexbet,"{'commence_time': 1611687600, 'team': ['Charlton Athletic', 'Milton Keynes Dons'], 'sport_key': 'soccer_england_league1'}"
1611690300,1,Fleetwood Town,onexbet,matchbook,"{'commence_time': 1611690300, 'team': ['Fleetwood Town', 'Northampton Town'], 'sport_key': 'soccer_england_league1'}"
1611690300,2,Ipswich Town,matchbook,onexbet,"{'commence_time': 1611690300, 'team': ['Ipswich Town', 'Sunderland'], 'sport_key': 'soccer_england_league1'}"
1612018800,1,AFC Wimbledon,pinnacle,onexbet,"{'commence_time': 1612018800, 'team': ['AFC Wimbledon', 'Milton Keynes Dons'], 'sport_key': 'soccer_england_league1'}"
1612018800,1,Blackpool,onexbet,mybookieag,"{'commence_time': 1612018800, 'team': ['Blackpool', 'Burton Albion'], 'sport_key': 'soccer_england_league1'}"
1612018800,2,Charlton Athletic,mybookieag,onexbet,"{'commence_time': 1612018800, 'team': ['Charlton Athletic', 'Portsmouth'], 'sport_key': 'soccer_england_league1'}"
1612018800,1,Bristol Rovers,onexbet,pinnacle,"{'commence_time': 1612018800, 'team': ['Bristol Rovers', 'Rochdale'], 'sport_key': 'soccer_england_league1'}"
1612018800,1,Crewe Alexandra,onexbet,pinnacle,"{'commence_time': 1612018800, 'team': ['Crewe Alexandra', 'Ipswich Town'], 'sport_key': 'soccer_england_league1'}"
1612018800,2,Accrington Stanley,mybookieag,onexbet,"{'commence_time': 1612018800, 'team': ['Accrington Stanley', 'Plymouth Argyle'], 'sport_key': 'soccer_england_league1'}"
1612018800,1,Peterborough United,onexbet,pinnacle,"{'commence_time': 1612018800, 'team': ['Peterborough United', 'Shrewsbury Town'], 'sport_key': 'soccer_england_league1'}"
1612018800,2,Doncaster Rovers,mybookieag,onexbet,"{'commence_time': 1612018800, 'team': ['Doncaster Rovers', 'Lincoln City'], 'sport_key': 'soccer_england_league1'}"
1612018800,2,Northampton Town,onexbet,mybookieag,"{'commence_time': 1612018800, 'team': ['Northampton Town', 'Wigan Athletic'], 'sport_key': 'soccer_england_league1'}"
1612018800,1,Fleetwood Town,pinnacle,onexbet,"{'commence_time': 1612018800, 'team': ['Fleetwood Town', 'Oxford United'], 'sport_key': 'soccer_england_league1'}"
1611684000,2,Exeter City,onexbet,matchbook,"{'commence_time': 1611684000, 'team': ['Exeter City', 'Morecambe'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Barrow,onexbet,matchbook,"{'commence_time': 1611687600, 'team': ['Barrow', 'Grimsby Town'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Cheltenham Town,onexbet,matchbook,"{'commence_time': 1611687600, 'team': ['Cheltenham Town', 'Oldham Athletic'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Bolton Wanderers,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['Bolton Wanderers', 'Mansfield Town'], 'sport_key': 'soccer_england_league2'}"
1611687600,2,Carlisle United,onexbet,matchbook,"{'commence_time': 1611687600, 'team': ['Carlisle United', 'Newport County'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Cambridge United,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['Cambridge United', 'Salford City'], 'sport_key': 'soccer_england_league2'}"
1611687600,2,Port Vale,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['Port Vale', 'Scunthorpe United'], 'sport_key': 'soccer_england_league2'}"
1611687600,2,Bradford City,onexbet,matchbook,"{'commence_time': 1611687600, 'team': ['Bradford City', 'Southend United'], 'sport_key': 'soccer_england_league2'}"
1611687600,2,Colchester United,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['Colchester United', 'Stevenage'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Harrogate Town,matchbook,onexbet,"{'commence_time': 1611687600, 'team': ['Harrogate Town', 'Tranmere Rovers'], 'sport_key': 'soccer_england_league2'}"
1611684000,2,Exeter City,onexbet,matchbook,"{'commence_time': 1611684000, 'team': ['Exeter City', 'Morecambe'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Barrow,onexbet,pinnacle,"{'commence_time': 1611687600, 'team': ['Barrow', 'Grimsby Town'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Cheltenham Town,onexbet,pinnacle,"{'commence_time': 1611687600, 'team': ['Cheltenham Town', 'Oldham Athletic'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Bolton Wanderers,pinnacle,onexbet,"{'commence_time': 1611687600, 'team': ['Bolton Wanderers', 'Mansfield Town'], 'sport_key': 'soccer_england_league2'}"
1611687600,2,Carlisle United,onexbet,pinnacle,"{'commence_time': 1611687600, 'team': ['Carlisle United', 'Newport County'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Cambridge United,pinnacle,onexbet,"{'commence_time': 1611687600, 'team': ['Cambridge United', 'Salford City'], 'sport_key': 'soccer_england_league2'}"
1611687600,2,Port Vale,mybookieag,onexbet,"{'commence_time': 1611687600, 'team': ['Port Vale', 'Scunthorpe United'], 'sport_key': 'soccer_england_league2'}"
1611687600,2,Bradford City,onexbet,matchbook,"{'commence_time': 1611687600, 'team': ['Bradford City', 'Southend United'], 'sport_key': 'soccer_england_league2'}"
1611687600,2,Colchester United,mybookieag,onexbet,"{'commence_time': 1611687600, 'team': ['Colchester United', 'Stevenage'], 'sport_key': 'soccer_england_league2'}"
1611687600,1,Harrogate Town,pinnacle,onexbet,"{'commence_time': 1611687600, 'team': ['Harrogate Town', 'Tranmere Rovers'], 'sport_key': 'soccer_england_league2'}"
1611946800,2,Colchester United,onexbet,mybookieag,"{'commence_time': 1611946800, 'team': ['Colchester United', 'Scunthorpe United'], 'sport_key': 'soccer_england_league2'}"
1612011600,1,Carlisle United,onexbet,pinnacle,"{'commence_time': 1612011600, 'team': ['Carlisle United', 'Exeter City'], 'sport_key': 'soccer_england_league2'}"
1612018800,2,Bolton Wanderers,onexbet,mybookieag,"{'commence_time': 1612018800, 'team': ['Bolton Wanderers', 'Leyton Orient'], 'sport_key': 'soccer_england_league2'}"
1612018800,1,Barrow,pinnacle,onexbet,"{'commence_time': 1612018800, 'team': ['Barrow', 'Bradford City'], 'sport_key': 'soccer_england_league2'}"
1612018800,1,Cambridge United,onexbet,pinnacle,"{'commence_time': 1612018800, 'team': ['Cambridge United', 'Crawley Town'], 'sport_key': 'soccer_england_league2'}"
1612018800,2,Cheltenham Town,mybookieag,onexbet,"{'commence_time': 1612018800, 'team': ['Cheltenham Town', 'Forest Green Rovers'], 'sport_key': 'soccer_england_league2'}"
1612018800,2,Grimsby Town,mybookieag,onexbet,"{'commence_time': 1612018800, 'team': ['Grimsby Town', 'Stevenage'], 'sport_key': 'soccer_england_league2'}"
1612018800,2,Harrogate Town,pinnacle,onexbet,"{'commence_time': 1612018800, 'team': ['Harrogate Town', 'Newport County'], 'sport_key': 'soccer_england_league2'}"
1612018800,2,Morecambe,onexbet,mybookieag,"{'commence_time': 1612018800, 'team': ['Morecambe', 'Tranmere Rovers'], 'sport_key': 'soccer_england_league2'}"
1612018800,2,Oldham Athletic,mybookieag,onexbet,"{'commence_time': 1612018800, 'team': ['Oldham Athletic', 'Salford City'], 'sport_key': 'soccer_england_league2'}"
1612018800,1,Port Vale,onexbet,mybookieag,"{'commence_time': 1612018800, 'team': ['Port Vale', 'Southend United'], 'sport_key': 'soccer_england_league2'}"
1612018800,2,Mansfield Town,mybookieag,onexbet,"{'commence_time': 1612018800, 'team': ['Mansfield Town', 'Walsall'], 'sport_key': 'soccer_england_league2'}"
1611684000,2,Crystal Palace,matchbook,onexbet,"{'commence_time': 1611684000, 'team': ['Crystal Palace', 'West Ham United'], 'sport_key': 'soccer_epl'}"
1611684000,1,Leeds United,onexbet,matchbook,"{'commence_time': 1611684000, 'team': ['Leeds United', 'Newcastle United'], 'sport_key': 'soccer_epl'}"
1611692100,2,Arsenal,onexbet,matchbook,"{'commence_time': 1611692100, 'team': ['Arsenal', 'Southampton'], 'sport_key': 'soccer_epl'}"
1611770400,2,Aston Villa,onexbet,matchbook,"{'commence_time': 1611770400, 'team': ['Aston Villa', 'Burnley'], 'sport_key': 'soccer_epl'}"
1611775800,1,Brighton and Hove Albion,onexbet,matchbook,"{'commence_time': 1611775800, 'team': ['Brighton and Hove Albion', 'Fulham'], 'sport_key': 'soccer_epl'}"
1611778500,2,Everton,matchbook,onexbet,"{'commence_time': 1611778500, 'team': ['Everton', 'Leicester City'], 'sport_key': 'soccer_epl'}"
1611864000,2,Liverpool,onexbet,matchbook,"{'commence_time': 1611864000, 'team': ['Liverpool', 'Tottenham Hotspur'], 'sport_key': 'soccer_epl'}"
1611684000,2,Crystal Palace,mybookieag,gtbets,"{'commence_time': 1611684000, 'team': ['Crystal Palace', 'West Ham United'], 'sport_key': 'soccer_epl'}"
1611684000,1,Leeds United,gtbets,mybookieag,"{'commence_time': 1611684000, 'team': ['Leeds United', 'Newcastle United'], 'sport_key': 'soccer_epl'}"
1611692100,2,Arsenal,gtbets,mybookieag,"{'commence_time': 1611692100, 'team': ['Arsenal', 'Southampton'], 'sport_key': 'soccer_epl'}"
1611770400,1,Chelsea,gtbets,bovada,"{'commence_time': 1611770400, 'team': ['Chelsea', 'Wolverhampton Wanderers'], 'sport_key': 'soccer_epl'}"
1611770400,1,Aston Villa,gtbets,mybookieag,"{'commence_time': 1611770400, 'team': ['Aston Villa', 'Burnley'], 'sport_key': 'soccer_epl'}"
1611775800,2,Brighton and Hove Albion,gtbets,bovada,"{'commence_time': 1611775800, 'team': ['Brighton and Hove Albion', 'Fulham'], 'sport_key': 'soccer_epl'}"
1611778500,2,Everton,mybookieag,gtbets,"{'commence_time': 1611778500, 'team': ['Everton', 'Leicester City'], 'sport_key': 'soccer_epl'}"
1611864000,2,Liverpool,gtbets,bovada,"{'commence_time': 1611864000, 'team': ['Liverpool', 'Tottenham Hotspur'], 'sport_key': 'soccer_epl'}"
1612018800,2,Fulham,gtbets,mybookieag,"{'commence_time': 1612018800, 'team': ['Fulham', 'West Bromwich Albion'], 'sport_key': 'soccer_epl'}"
1612018800,2,Crystal Palace,gtbets,betonlineag,"{'commence_time': 1612018800, 'team': ['Crystal Palace', 'Wolverhampton Wanderers'], 'sport_key': 'soccer_epl'}"
1612027800,2,Arsenal,mybookieag,gtbets,"{'commence_time': 1612027800, 'team': ['Arsenal', 'Manchester United'], 'sport_key': 'soccer_epl'}"
1612036800,2,Aston Villa,mybookieag,gtbets,"{'commence_time': 1612036800, 'team': ['Aston Villa', 'Southampton'], 'sport_key': 'soccer_epl'}"
1612101600,1,Leeds United,mybookieag,gtbets,"{'commence_time': 1612101600, 'team': ['Leeds United', 'Leicester City'], 'sport_key': 'soccer_epl'}"
1612110600,1,Liverpool,gtbets,mybookieag,"{'commence_time': 1612110600, 'team': ['Liverpool', 'West Ham United'], 'sport_key': 'soccer_epl'}"
1612120500,2,Brighton and Hove Albion,bovada,gtbets,"{'commence_time': 1612120500, 'team': ['Brighton and Hove Albion', 'Tottenham Hotspur'], 'sport_key': 'soccer_epl'}"
1611684000,2,Crystal Palace,mybookieag,onexbet,"{'commence_time': 1611684000, 'team': ['Crystal Palace', 'West Ham United'], 'sport_key': 'soccer_epl'}"
1611684000,1,Leeds United,onexbet,mybookieag,"{'commence_time': 1611684000, 'team': ['Leeds United', 'Newcastle United'], 'sport_key': 'soccer_epl'}"
1611692100,2,Arsenal,onexbet,mybookieag,"{'commence_time': 1611692100, 'team': ['Arsenal', 'Southampton'], 'sport_key': 'soccer_epl'}"
1611770400,2,Aston Villa,onexbet,matchbook,"{'commence_time': 1611770400, 'team': ['Aston Villa', 'Burnley'], 'sport_key': 'soccer_epl'}"
1611775800,2,Brighton and Hove Albion,onexbet,betonlineag,"{'commence_time': 1611775800, 'team': ['Brighton and Hove Albion', 'Fulham'], 'sport_key': 'soccer_epl'}"
1611778500,2,Everton,mybookieag,onexbet,"{'commence_time': 1611778500, 'team': ['Everton', 'Leicester City'], 'sport_key': 'soccer_epl'}"
1611864000,2,Liverpool,onexbet,matchbook,"{'commence_time': 1611864000, 'team': ['Liverpool', 'Tottenham Hotspur'], 'sport_key': 'soccer_epl'}"
1612018800,2,Fulham,onexbet,mybookieag,"{'commence_time': 1612018800, 'team': ['Fulham', 'West Bromwich Albion'], 'sport_key': 'soccer_epl'}"
1612018800,2,Crystal Palace,onexbet,betonlineag,"{'commence_time': 1612018800, 'team': ['Crystal Palace', 'Wolverhampton Wanderers'], 'sport_key': 'soccer_epl'}"
1612027800,2,Arsenal,mybookieag,onexbet,"{'commence_time': 1612027800, 'team': ['Arsenal', 'Manchester United'], 'sport_key': 'soccer_epl'}"
1612036800,2,Aston Villa,mybookieag,onexbet,"{'commence_time': 1612036800, 'team': ['Aston Villa', 'Southampton'], 'sport_key': 'soccer_epl'}"
1612101600,1,Leeds United,mybookieag,onexbet,"{'commence_time': 1612101600, 'team': ['Leeds United', 'Leicester City'], 'sport_key': 'soccer_epl'}"
1612110600,1,Liverpool,onexbet,mybookieag,"{'commence_time': 1612110600, 'team': ['Liverpool', 'West Ham United'], 'sport_key': 'soccer_epl'}"
1612120500,1,Brighton and Hove Albion,pinnacle,onexbet,"{'commence_time': 1612120500, 'team': ['Brighton and Hove Albion', 'Tottenham Hotspur'], 'sport_key': 'soccer_epl'}"
1611603900,1,Tottenham Hotspur,matchbook,onexbet,"{'commence_time': 1611603900, 'team': ['Tottenham Hotspur', 'Wycombe Wanderers'], 'sport_key': 'soccer_fa_cup'}"
1611603900,1,Tottenham Hotspur,matchbook,onexbet,"{'commence_time': 1611603900, 'team': ['Tottenham Hotspur', 'Wycombe Wanderers'], 'sport_key': 'soccer_fa_cup'}"
1612022400,2,Montpellier,gtbets,mybookieag,"{'commence_time': 1612022400, 'team': ['Montpellier', 'RC Lens'], 'sport_key': 'soccer_france_ligue_one'}"
1612036800,2,Marseille,gtbets,lowvig,"{'commence_time': 1612036800, 'team': ['Marseille', 'Rennes'], 'sport_key': 'soccer_france_ligue_one'}"
1612094400,2,Nice,gtbets,mybookieag,"{'commence_time': 1612094400, 'team': ['Nice', 'Saint Etienne'], 'sport_key': 'soccer_france_ligue_one'}"
1612101600,1,Stade de Reims,mybookieag,gtbets,"{'commence_time': 1612101600, 'team': ['Stade de Reims', 'Strasbourg'], 'sport_key': 'soccer_france_ligue_one'}"
1612101600,1,Brest,gtbets,lowvig,"{'commence_time': 1612101600, 'team': ['Brest', 'Metz'], 'sport_key': 'soccer_france_ligue_one'}"
1612101600,1,Angers,gtbets,mybookieag,"{'commence_time': 1612101600, 'team': ['Angers', 'Nîmes Olympique'], 'sport_key': 'soccer_france_ligue_one'}"
1612123200,1,AS Monaco,gtbets,mybookieag,"{'commence_time': 1612123200, 'team': ['AS Monaco', 'Nantes'], 'sport_key': 'soccer_france_ligue_one'}"
1612022400,2,Montpellier,onexbet,mybookieag,"{'commence_time': 1612022400, 'team': ['Montpellier', 'RC Lens'], 'sport_key': 'soccer_france_ligue_one'}"
1612036800,2,Marseille,onexbet,pinnacle,"{'commence_time': 1612036800, 'team': ['Marseille', 'Rennes'], 'sport_key': 'soccer_france_ligue_one'}"
1612094400,2,Nice,onexbet,mybookieag,"{'commence_time': 1612094400, 'team': ['Nice', 'Saint Etienne'], 'sport_key': 'soccer_france_ligue_one'}"
1612101600,1,Stade de Reims,mybookieag,onexbet,"{'commence_time': 1612101600, 'team': ['Stade de Reims', 'Strasbourg'], 'sport_key': 'soccer_france_ligue_one'}"
1612101600,1,Brest,onexbet,pinnacle,"{'commence_time': 1612101600, 'team': ['Brest', 'Metz'], 'sport_key': 'soccer_france_ligue_one'}"
1612101600,1,Angers,onexbet,mybookieag,"{'commence_time': 1612101600, 'team': ['Angers', 'Nîmes Olympique'], 'sport_key': 'soccer_france_ligue_one'}"
1612123200,1,AS Monaco,onexbet,mybookieag,"{'commence_time': 1612123200, 'team': ['AS Monaco', 'Nantes'], 'sport_key': 'soccer_france_ligue_one'}"
1612375200,1,Brest,mybookieag,onexbet,"{'commence_time': 1612375200, 'team': ['Brest', 'Strasbourg'], 'sport_key': 'soccer_france_ligue_one'}"
1612375200,2,Angers,mybookieag,onexbet,"{'commence_time': 1612375200, 'team': ['Angers', 'Stade de Reims'], 'sport_key': 'soccer_france_ligue_one'}"
1612375200,1,Bordeaux,mybookieag,onexbet,"{'commence_time': 1612375200, 'team': ['Bordeaux', 'Lille'], 'sport_key': 'soccer_france_ligue_one'}"
1612375200,2,Metz,onexbet,mybookieag,"{'commence_time': 1612375200, 'team': ['Metz', 'Montpellier'], 'sport_key': 'soccer_france_ligue_one'}"
1612382400,1,Nantes,mybookieag,onexbet,"{'commence_time': 1612382400, 'team': ['Nantes', 'Saint Etienne'], 'sport_key': 'soccer_france_ligue_one'}"
1611948600,1,FSV Mainz 05,matchbook,onexbet,"{'commence_time': 1611948600, 'team': ['FSV Mainz 05', 'VfB Stuttgart'], 'sport_key': 'soccer_germany_bundesliga'}"
1612017000,2,Eintracht Frankfurt,onexbet,matchbook,"{'commence_time': 1612017000, 'team': ['Eintracht Frankfurt', 'Hertha Berlin'], 'sport_key': 'soccer_germany_bundesliga'}"
1612017000,2,Borussia Monchengladbach,onexbet,matchbook,"{'commence_time': 1612017000, 'team': ['Borussia Monchengladbach', 'Union Berlin'], 'sport_key': 'soccer_germany_bundesliga'}"
